row_id,week_no,week_ending,inflow,expenses,net_change,ending_cash,cum_expenses,weeks_covered,vs_3mo_floor,basis,note,value_class
R001,0,2026-09-07,,,,515092.0,,1.98,"MISSES by 2,869,734 (515,092 vs 3,384,826)",FILED (FY2025 Part X cash + savings),opening position from the FY2025 filing,PUBLIC_RESEARCH
R002,1,2026-09-11,273233.75,260371.21,12862.54,527954.54,260371.21,2.03,"MISSES by 2,856,871 (527,955 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R003,2,2026-09-18,273233.75,260371.21,12862.54,540817.08,520742.42,2.08,"MISSES by 2,844,009 (540,817 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R004,3,2026-09-25,273233.75,260371.21,12862.54,553679.62,781113.63,2.13,"MISSES by 2,831,146 (553,680 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R005,4,2026-10-02,273233.75,260371.21,12862.54,566542.15,1041484.85,2.18,"MISSES by 2,818,284 (566,542 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R006,5,2026-10-09,273233.75,260371.21,12862.54,579404.69,1301856.06,2.23,"MISSES by 2,805,421 (579,405 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R007,6,2026-10-16,273233.75,260371.21,12862.54,592267.23,1562227.27,2.27,"MISSES by 2,792,559 (592,267 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R008,7,2026-10-23,273233.75,260371.21,12862.54,605129.77,1822598.48,2.32,"MISSES by 2,779,696 (605,130 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R009,8,2026-10-30,273233.75,260371.21,12862.54,617992.31,2082969.69,2.37,"MISSES by 2,766,833 (617,992 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R010,9,2026-11-06,273233.75,260371.21,12862.54,630854.85,2343340.9,2.42,"MISSES by 2,753,971 (630,855 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R011,10,2026-11-13,273233.75,260371.21,12862.54,643717.38,2603712.12,2.47,"MISSES by 2,741,108 (643,717 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R012,11,2026-11-20,273233.75,260371.21,12862.54,656579.92,2864083.33,2.52,"MISSES by 2,728,246 (656,580 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R013,12,2026-11-27,273233.75,260371.21,12862.54,669442.46,3124454.54,2.57,"MISSES by 2,715,383 (669,442 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
R014,13,2026-12-04,273233.75,260371.21,12862.54,682305.0,3384825.75,2.62,"MISSES by 2,702,521 (682,305 vs 3,384,826)",DERIVED (STRAIGHT-LINE 990 PROXY),1/52nd of filed FY2025 revenue and expenses per week - seasonality not modeled,PUBLIC_RESEARCH
